x,y,z
9.999206543,0.040715332,0.302969971
10.01597168,0.040715332,0.10178833
9.988428955,0.106578369,0.132923584
9.986033936,0.077838135,0.281414795
9.904603271,0.047900391,0.213156738
10.01237915,0.028740234,0.2574646
10.03872437,0.044307861,0.293389893
9.842332764,0.05149292,0.219144287
10.06387207,0.046702881,0.221539307
9.96447876,0.083825684,0.111368408
9.987231445,0.15088623,0.087418213
10.05788452,0.15088623,0.264649658
10.03393433,0.040715332,0.271834717
10.04111938,0.044307861,0.217946777
9.946516113,0.10059082,0.310155029
10.00758911,0.064665527,0.106578369
10.07464966,0.053887939,0.295784912
9.996811523,0.096998291,0.096998291
10.0303418,0.037122803,0.167651367
10.03273682,0.065863037,0.281414795
10.07584717,0.111368408,0.162861328
9.904603271,0.034727783,0.219144287
10.02555176,0.141306152,0.279019775
10.00279907,0.041912842,0.207169189
9.86149292,0.045505371,0.281414795
10.09500732,0.075443115,0.113763428
9.978848877,0.172441406,0.294587402
10.09740234,0.086220703,0.167651367
9.909393311,0.031135254,0.198786621
9.889035645,0.041912842,0.185614014
10.02076172,0.071850586,-0.019160156
9.936936035,0.057480469,0.162861328
10.07345215,0.05149292,0.377215576
10.00399658,0.045505371,0.164058838
10.06506958,0.167651367,0.258662109
9.921368408,0.096998291,0.293389893
9.950108643,0.15567627,0.319735107
9.896220703,0.008382568,0.209564209
10.05189697,0.015567627,0.216749268
10.04710693,0.156873779,0.247884521
9.855505371,0.108973389,0.287402344
9.893825684,0.098195801,0.30895752
10.00160156,0.055085449,0.273032227
10.01597168,0.064665527,0.134121094
9.926158447,0.05269043,0.263452148
9.903405762,0.092208252,0.20357666
10.07584717,-0.022752686,0.081430664
10.14889526,0.055085449,0.098195801
10.01477417,0.174836426,0.215551758
9.879455566,0.05029541,0.147293701
10.01956421,0.118553467,0.283809814
10.06506958,0.031135254,0.25626709
9.855505371,0.118553467,0.299377441
9.96328125,0.086220703,0.138911133
10.06147705,0.027542725,0.245489502
9.86269043,0.076640625,0.344882813
10.0554895,0.056282959,0.110170898
9.930948486,0.117355957,0.118553467
10.01118164,0.093405762,0.128133545
10.03153931,0.114960938,0.118553467
9.898615723,0.144898682,0.219144287
10.01716919,0.116158447,0.176033936
9.91059082,0.041912842,0.226329346
10.07824219,0.047900391,0.246687012
10.03632935,0.079035645,0.086220703
10.01118164,0.10059082,0.336500244
9.868677979,0.117355957,0.277822266
10.02076172,0.079035645,0.196391602
9.96328125,0.020357666,0.296982422
10.02555176,0.043110352,0.322130127
10.06985962,0.067060547,0.229921875
10.07225464,0,0.164058838
10.06985962,0.117355957,0.225131836
10.06267456,0.144898682,0.073048096
10.07345215,0.028740234,0.238304443
10.00399658,-0.00239502,0.30536499
9.887838135,0.161663818,0.247884521
10.03632935,0.035925293,0.292192383
10.02674927,0.069455566,0.208366699
10.06387207,0.080233154,0.198786621
10.05668701,0.142503662,0.173638916
10.09740234,0.05269043,0.120948486
9.875863037,0.081430664,0.173638916
10.04111938,0.146096191,0.171243896
10.00279907,0.038320313,0.114960938
10.06626709,0.164058838,0.199984131
10.0794397,0.038320313,0.220341797
10.06506958,0.003592529,0.132923584
9.96328125,0.082628174,0.221539307
9.96208374,0.040715332,0.262254639
10.09141479,0.085023193,0.20597168
9.959688721,0.075443115,0.15567627
10.07105713,0.149688721,0.174836426
10.00160156,0.128133545,0.141306152
9.954898682,0.025147705,0.318537598
9.951306152,0.132923584,0.15328125
9.96567627,0.021555176,0.221539307
9.938133545,0.170046387,0.245489502
9.906998291,0.10059082,0.158071289
10.07464966,0.079035645,0.134121094
9.91178833,0.116158447,0.184416504
10.02076172,0.013172607,0.191601563
10.04471191,0,0.034727783
10.11296997,0.070653076,0.261057129
9.856702881,0.141306152,0.382005615
10.02555176,0.120948486,0.25387207
10.06985962,-0.00239502,0.178428955
9.941726074,0.015567627,0.223934326
10.01237915,0.094603271,0.063468018
9.923763428,0.008382568,0.289797363
9.96447876,0.076640625,0.147293701
9.923763428,0.085023193,0.193996582
10.03393433,0.138911133,0.136516113
10.04111938,-0.009580078,0.195194092
9.91298584,0.062270508,0.168848877
9.897418213,0.111368408,0.252674561
10.00279907,0.179626465,0.158071289
9.981243896,0.023950195,0.343685303
10.12374756,0.073048096,0.164058838
9.980046387,-0.00239502,0.240699463
10.06866211,0.159268799,0.210761719
10.04830444,0.046702881,0.276624756
9.953701172,0.019160156,0.197589111
9.904603271,0.035925293,0.225131836
10.09979736,0.095800781,0.146096191
9.915380859,0.05029541,0.302969971
10.1165625,0.124541016,0.168848877
10.08183472,0.080233154,0.137713623
9.936936035,0.079035645,0.149688721
10.05668701,0.126936035,0.196391602
10.04710693,0.122145996,0.174836426
9.993218994,0.114960938,0.065863037
10.03872437,0.086220703,0.239501953
10.06506958,0.112565918,0.0490979
10.04111938,0.047900391,0.056282959
9.904603271,0.077838135,0.229921875
9.966873779,0.068258057,0.336500244
9.996811523,0.073048096,0.384400635
9.96208374,0.138911133,0.160466309
10.00279907,0.05029541,0.156873779
9.877060547,0.037122803,0.217946777
10.03632935,0.075443115,0.045505371
9.929750977,0.124541016,0.081430664
9.844727783,0.136516113,0.240699463
10.01956421,0.128133545,0.273032227
10.06626709,-0.00119751,0.220341797
10.06985962,0.095800781,0.184416504
10.09380981,0.05149292,0.132923584
10.08183472,0.096998291,0.140108643
10.06027954,0.063468018,0.144898682
10.02914429,0.058677979,0.105380859
9.891430664,0.040715332,0.235909424
9.984836426,0.117355957,0.131726074
9.904603271,0.045505371,0.336500244
9.946516113,0.094603271,0.261057129
10.08542725,0.099393311,0.199984131
9.96447876,0.059875488,0.378413086
10.0183667,0.125738525,0.142503662
9.827962646,0.028740234,0.312550049
10.12734009,0.10418335,0.15447876
10.03513184,0.05029541,0.324525146
9.968071289,0.075443115,0.214354248
9.924960938,0.065863037,0.244291992
9.999206543,0.040715332,0.25506958
10.0063916,0.095800781,0.113763428
10.02195923,0.119750977,0.089813232
10.0435144,0.071850586,0.124541016
9.947713623,0.146096191,0.114960938
9.946516113,0.10059082,0.213156738
9.871072998,0.111368408,0.241896973
9.827962646,0.087418213,0.379610596
9.851912842,0.063468018,0.320932617
9.918973389,0.016765137,0.222736816
10.09500732,0.15567627,0.227526855
9.884245605,0.021555176,0.281414795
9.951306152,0.113763428,0.099393311
10.00878662,0.071850586,0.376018066
10.11296997,0.094603271,0.105380859
9.873468018,0.129331055,0.295784912
9.856702881,0.098195801,0.346080322
9.957293701,0.075443115,0.053887939
